sort,SUBJECT,SESSION,File,TIME_WINDOW,GENDER,PEAK,ELEC,COND_NUM,evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
6,4,3,sub-04mkkm_task-lexdec_run-003,2,2,1.261784,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,1.7659428333333331,04mkkm,eeg001,lexdec,3,
6,4,3,sub-04mkkm_task-lexdec_run-003,2,2,1.606837,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,2.562835666666667,04mkkm,eeg001,lexdec,3,
6,4,3,sub-04mkkm_task-lexdec_run-003,2,2,2.429189,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,3.109827166666667,04mkkm,eeg001,lexdec,3,
6,4,3,sub-04mkkm_task-lexdec_run-003,2,2,6.609443,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,5.064540833333333,04mkkm,eeg001,lexdec,3,
6,4,3,sub-04mkkm_task-lexdec_run-003,2,2,6.950914,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,5.1360719999999995,04mkkm,eeg001,lexdec,3,
7,4,4,sub-04mkkm_task-lexdec_run-004,2,2,0.6701020000000001,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,1.247206,04mkkm,eeg001,lexdec,4,
7,4,4,sub-04mkkm_task-lexdec_run-004,2,2,-1.111881,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,-0.26376249999999996,04mkkm,eeg001,lexdec,4,
7,4,4,sub-04mkkm_task-lexdec_run-004,2,2,0.8527379999999999,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,1.1062336666666666,04mkkm,eeg001,lexdec,4,
7,4,4,sub-04mkkm_task-lexdec_run-004,2,2,1.140984,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,0.5219398333333334,04mkkm,eeg001,lexdec,4,
7,4,4,sub-04mkkm_task-lexdec_run-004,2,2,5.19943,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,3.3599366666666666,04mkkm,eeg001,lexdec,4,
7,4,4,sub-04mkkm_task-lexdec_run-004,2,2,3.5775949999999996,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,3.576579166666667,04mkkm,eeg001,lexdec,4,
8,5,1,sub-05jwxf_task-lexdec_run-001,2,1,1.431275,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,2.708257666666667,05jwxf,eeg001,lexdec,1,
8,5,1,sub-05jwxf_task-lexdec_run-001,2,1,1.966566,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,2.038809666666667,05jwxf,eeg001,lexdec,1,
8,5,1,sub-05jwxf_task-lexdec_run-001,2,1,1.889659,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,3.2856011666666665,05jwxf,eeg001,lexdec,1,
8,5,1,sub-05jwxf_task-lexdec_run-001,2,1,1.8739720000000002,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,2.449828833333333,05jwxf,eeg001,lexdec,1,
8,5,1,sub-05jwxf_task-lexdec_run-001,2,1,3.198514,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,3.076040833333334,05jwxf,eeg001,lexdec,1,
8,5,1,sub-05jwxf_task-lexdec_run-001,2,1,4.380717,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,4.362933166666667,05jwxf,eeg001,lexdec,1,
9,5,2,sub-05jwxf_task-lexdec_run-002,2,1,2.763975,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,2.939617,05jwxf,eeg001,lexdec,2,
9,5,2,sub-05jwxf_task-lexdec_run-002,2,1,3.101313,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,3.1294115,05jwxf,eeg001,lexdec,2,
9,5,2,sub-05jwxf_task-lexdec_run-002,2,1,1.283196,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,2.799978166666667,05jwxf,eeg001,lexdec,2,
9,5,2,sub-05jwxf_task-lexdec_run-002,2,1,2.107755,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,2.592133666666667,05jwxf,eeg001,lexdec,2,
9,5,2,sub-05jwxf_task-lexdec_run-002,2,1,2.3368990000000003,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,2.4180276666666667,05jwxf,eeg001,lexdec,2,
9,5,2,sub-05jwxf_task-lexdec_run-002,2,1,3.190934,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,3.5703294999999997,05jwxf,eeg001,lexdec,2,
10,5,3,sub-05jwxf_task-lexdec_run-003,2,1,0.887487,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,1.0692286666666666,05jwxf,eeg001,lexdec,3,
10,5,3,sub-05jwxf_task-lexdec_run-003,2,1,1.141461,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,1.7070628333333335,05jwxf,eeg001,lexdec,3,
10,5,3,sub-05jwxf_task-lexdec_run-003,2,1,1.210684,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,0.4226628333333334,05jwxf,eeg001,lexdec,3,
10,5,3,sub-05jwxf_task-lexdec_run-003,2,1,0.772262,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,1.544759166666667,05jwxf,eeg001,lexdec,3,
10,5,3,sub-05jwxf_task-lexdec_run-003,2,1,1.8598709999999998,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,1.4690023333333333,05jwxf,eeg001,lexdec,3,
10,5,3,sub-05jwxf_task-lexdec_run-003,2,1,2.5360259999999997,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,1.872265166666666,05jwxf,eeg001,lexdec,3,
11,5,4,sub-05jwxf_task-lexdec_run-004,2,1,6.6962779999999995,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,8.310739666666665,05jwxf,eeg001,lexdec,4,
11,5,4,sub-05jwxf_task-lexdec_run-004,2,1,7.752658,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,6.651169666666667,05jwxf,eeg001,lexdec,4,
11,5,4,sub-05jwxf_task-lexdec_run-004,2,1,7.3858960000000025,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,8.045758833333334,05jwxf,eeg001,lexdec,4,
11,5,4,sub-05jwxf_task-lexdec_run-004,2,1,6.998817999999999,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,7.719674166666667,05jwxf,eeg001,lexdec,4,
11,5,4,sub-05jwxf_task-lexdec_run-004,2,1,9.191969,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,8.286333833333334,05jwxf,eeg001,lexdec,4,
