set0,evoked0,quest0,cond0,chan1,later0,coron0,tmin0,class0,mode0,type0,subj0,runn0,nave0,latX,valX
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,29jjxf,0,,,-6.6462132500000015
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,30mszf,0,,,-1.66904275
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,32mjxf,0,,,-4.63888675
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,34gsxm,0,,,-3.25815575
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,35mwxm,0,,,-6.6584780000000015
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,36rwxm,0,,,-0.33971224999999994
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,38slxm,0,,,-4.39893725
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,39mrxm,0,,,-2.415673
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,40asxm,0,,,-2.2147265
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,41roxm,0,,,-2.9117580000000003
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,42aszm,0,,,-5.556429000000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,03mjkf,0,,,-2.73067975
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,04mkkm,0,,,-5.973779750000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,05jwxf,0,,,-1.91421575
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,06pppm,0,,,-3.601108
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,07zrxf,0,,,-4.831785
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,08pnxm,0,,,-0.3534662500000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,10mczf,0,,,-6.210559
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,11kbxm,0,,,-6.088399249999998
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,12jnxf,0,,,-7.582389999999999
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,13jsxm,0,,,-4.6771825
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,14ktxf,0,,,-4.30009375
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,16olxm,0,,,-6.595725
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,18skxm,0,,,-3.22105625
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,19jgxf,0,,,-6.332639
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,20jpxf,0,,,-0.7168439999999999
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,21koxf,0,,,-5.24140975
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,22foxm,0,,,-0.78305125
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,23zdxf,0,,,-5.94155325
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,25abxf,0,,,-8.5521145
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,27mwxf,0,,,-6.163871499999999
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,28pmsf,0,,,-4.2042875
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,29jjxf,0,,,-7.6693137500000015
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,30mszf,0,,,-1.85384275
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,32mjxf,0,,,-4.8507105
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,34gsxm,0,,,-4.4964784999999985
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,35mwxm,0,,,-6.9165565
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,36rwxm,0,,,-1.532849
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,38slxm,0,,,-5.86579425
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,39mrxm,0,,,-2.499419500000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,40asxm,0,,,-2.63209625
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,41roxm,0,,,-3.3827065000000003
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,42aszm,0,,,-5.998939000000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,03mjkf,0,,,5.399889249999998
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,04mkkm,0,,,-0.3533000000000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,05jwxf,0,,,5.1319262499999985
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,06pppm,0,,,3.2958975
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,07zrxf,0,,,3.3553254999999997
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,08pnxm,0,,,3.64396425
